question,answer,false_answer
In which UK County is Lydd Airport?,K249DR; KENT; KAZZ (AM),Devon
"In which American state is Camp David, the mountain retreat of the President of the U.S.A.?","Education in Maryland; The Old Line State; Murder Land; Geography of Maryland; Mary Land; Maryland; Economy of Maryland; Transport in Maryland; Old Line State; Maryland, USA; Maryland, United States; Maryland gross state product; MarylanD; Maryland (state); Mariland; Seventh State; MD, USA; Murda Land; MARYLAND; Maryland (U.S. state); Climate of Maryland; US-MD; Demographics of Maryland; Transportation in Maryland; Religion in Maryland; Maralind; 7th State; State of Maryland",Colorado
Which book of the Old Testament explains how the festival of Purim came to be celebrated by the Jews?,Esther,Exodus
"In what outdoor sport, sanctioned by the NHPA, do you score 3 points for a ringer, 2 for a leaner, and the closet scores a point?",Horseshoe pit; Horseshoes (game); Horseshoes; Horseshoe Pitching; Horse shoes; Horseshoe pitching; Horseshoe throwing,Bocce
Michelangelo Merisi (or Amerighi) is the birth name of which artist?,"Morigi, Michaelangelo (Caravaggio); Carravagio; Michael Angelo Merigi; Michelangelo da Merisi; Michelangelo Merisi Da Caravaggio; Michaelangelo da Carravagio; Caravaggiesque; Caravage; Cravaggio; Caravaggio (Michaelangelo Morigi); Michaelangelo Merisi; Carvaggio; Michelangelo da Caravaggio; Michelangelo Merisi da Caravaggio; Ecstacy of saint francis; Caravagio; Caravaggio; Michael Agnolo van Caravaggio; Caravaggio Merisi; Michelangelo Nerosi da Caravaggio; Caravaggesque; Michelangelo Caravaggio; Michaelangelo (Caravaggio) Morigi; Michelangelo Amerighi da Caravaggio; Michelangelo Amerighi Caravaggio; Carravaggio; Michelangelo Merisi Caravaggio; Michelangelo Merisi Da Carravaggio; Michelangelo Merisi De Caravaggio; Caravaggio (disputed); Michelangelo Merisi",Leonardo da Vinci
"From which Bob Dylan song does the following come: """"Now you don't talk so loud, now you don't seem so proud about havin' to be scrounging for your next meal""""?",Like a rolling stone; Like a Rolling Stone; Like A Rolling Stone; 'LIKE A ROLLING STONE'; Like a Rolling Stone (The Rolling Stones song),"""Like a Rolling Stone"""
What was the first hospital soap opera on ITV,Oxbridge General; Emergency - Ward 10; Emergency Ward 10; Emergency Ward Ten; Emergency – Ward 10; Emergency-Ward 10,General Hospital
"The Treaty of Fontainebleau, signed on 11 April 1814 by representatives of France, Austria, Hungary, Bohemia, Russia, and Prussia, had a marked effect on the personal life of whom?","Napoleon Buonaparte; Napolean bonapart; Bonaparte; Napoleonist; Napoleon Boneparte; Le petit caporal; Napoleaon; Napolen's coup; Napoleone Bonaparte; Age of Napoleon; Napoléon Buonaparte; Napoleón; Emperor Napoleon; Napoleon the Great; Napoleon I of France; Napoleon I of France bibliography; Napoléon; Napolean Bonapart; Napoléon I, Emperor of the French; Napolean Bonaparte; Napoleon Bonapart; Napeoleon; Napolean bonarparte; Emperor Napoleon I; Napolean; Napoleon Bonaparte; Napoloen; Emperor of France Napoleon I; Napoleon I Bonaparte; Napoleone Buonaparte; Napoleon bonaparte; Napolian; Napoléon Bonaparte; Napoleon's; Napoleonic; Napoleon I, Emperor of the French; Jupiter Scapin; Nepolian; Napoleon I of the French; Little Corporal; Napoleon I of Italy; Napoleon bonepart; Napoléon I; Armed Soldier of Democracy; Napoleon I the Great of the French bibliography; Napoleon i of france; Napoleon i of france bibliography; Napoléon I of France; Napoleon's height; Napoleon Ier; Napoleon I; General Bonaparte; Napoleone di Buonaparte; Napoleón Bonaparte; Général Bonaparte; Jean d'Epee; Napoleon; Napoleon I of the French bibliography; Napoleon Emperor of France; Boneparte; Napoleon of France; Napoléon Ier; Napoléon I Bonaparte",Marie Antoinette
Which US city was named after a British Prime Minister?,"Smoky City; Pittsburgh (Pa.); Pittsburgh, Pennsylvania.; Frick International Studies Academy Middle School; Pitsburgh; The Burgh; Pittsbrugh; Pittsburgh, Pa; Pittsburgh, USA; Glenwood, Pennsylvania; Pittsburgh (PA); The Pittsburgh Style of Literature; Pittsburgh, Pennsylvania, U.S.; Pittsburgh, United States of America; Pittsburgh Pennsyvania; UN/LOCODE:USPIT; Da burgh; Pittsburgh (pgh); Climate of Pittsburgh, Pennsylvania; Pittsburgh; City of Bridges; Pittsburgh Frick 6–8 Middle School; Pittsburgh, PA; St. Justin's High School; East End (Pittsburgh); Pittsburgh, Pennsylvania, USA; Pittsburgh, Allegheny County, Pennsylvania; The City of Bridges; Pittsburgh, Pennsylvania, US; Fort du Quesne; Pittsburgh Frick 6-8 Middle School; City of Pittsburgh; The Steel City; Pittsburgh, PA.; Pittsburgh Style; Pittsburgh, Pa.; Education in pittsburgh; Pittsburg, PA; Pittsburgh, Pennsylvania, U.S.A.; Education in Pittsburgh; Pittsburg, Pennsylvania; Pittsburgh, Pennsylvania","Washington, D.C."
"The songs """"Don't Rain on My Parade"""" and """"People"""" are from which musical?",Funny Girl; Funny Girl (disambiguation),West Side Story
Rapidly boiling a liquid to make it thicker and more concentrated is called what?,Reductively; Reductions (disambiguation); Reduces; Reductiveness; Reduce; Reduction (disambiguation); Reduction (linguistics); Reduction; Reductivities; Reducibility; Reductive; Reductional; Reducible; Reductivenesses; Reducing; Reductionally; Reduced; Reductionality; Reductivity,Evaporation
What physics term refers to the largely prohibited selling method by which customers are said to have agreed to buy something unless they refuse unsolicited goods or services?,Principle of inertia; Inertia; The history of law of inertia; Galileo principle; Principle of inertia (physics); Types of Inertia; Galileo's principle; Inertia of rest; Galileo's Principle; Inertias,Inertia
"Who directed the 1969 film ‘Women in Love’, starring Oliver Reed and Glenda Jackson?",Henry Kenneth Russell; Henry Kenneth Alfred Russell; Henry Kenneth Alfred %22Ken%22 Russell; Ken Russell; Ken Russel,Stanley Kubrick
Where was the first annual G6 leaders summit (which later became the G8) held in 1975?,La Republique francaise; Franciaország; La Republique française; Belle France; FRANCE; Republique française; France; Ranska; Franciaorszag; French Republic; République francaise; République française; ISO 3166-1:FR; Frankreich; France (country); Etymology of France; FrancE; La République française; People of France; Republic of France; Fracne; Le France; The French Republic; Republique francaise; The Republic of France; La République francaise; La France; Rain in France; Republic of france; FRance; Frakkland; Climate of France; Franse,"Paris, France"
In what South American country was unrepentant asshat Che Guevara and his band of merry men captured and ultimately executed?,"Bolivia, Plurinational State of; Name of Bolivia; Bolivia; Etymology of Bolivia; Bolivian Republic; Republic of Bolivia; ISO 3166-1:BO; The Plurinational State of Bolivia; Plan de Todos; Estado Plurinacional de Bolivia; Volivia; Boliva; Bolívia; Plurinational State of Bolivia; Volívia; República de Bolivia; Bolivia (Plurinational State of)",Argentina
By what name was world champion boxer Walker Smith better known?,Walker Smith Junior; Walker Smith Jr.; Walker Smith Jr; Sugar Robinson; %22Sugar%22 Ray Robinson; Walker Smith Jnr.; Sugar Ray Robinson; Walker Smith Jnr,Joe Louis
"Although only 1 of 4 days that had a huge impact on the word, October 29, 1929, became the face of the catastrophe, and is commonly known by what name?","October 24, 1929; Stock Market Crash of 1929; 1929 Stock Market Crash; 10/24/29; Wall Street crash of 1929; Black tuesday; The Great Crash; Great Crash of 1929; Stock market crash of 1929; Crash of 1929; Wall Street crash; 1929 stock-market crash; Panic of 1929; Great crash; The Wall Street Crash; Wall Street Crash of 1929; 1929 crash; Stock Market Crash 1929; 1929 Wall Street Crash; Black Tuesday; October 29, 1929; Economic crash of 1929; Wall Street Crash; Wall Street Krach; 1929 Crash; 1929 stock market crash; Stock market crash 1929; 1929 Wall Street crash; Wall Street Krach of 1929; Crisis of 1929; Black Friday (1929); 1929 stock crash; '29 crash; Black Tuedsay; Crash of '29; The Crash of 1929; Wall St crash; Wall Street slump in 1929; Great Crash; Wall Street Crash 1929",Black Tuesday
The announcement came in November 1978 that which member of the 'Royal Family' was to join the armed forces?,"The Prince Andrew, Duke of York; Prince Andrew, Duke of York; The Duke of York; HRH The Prince Andrew, Duke of York; Prince Andrew, 1st Duke of York; Andrew, Duke of York; HRH The Prince Andrew; HRH the Duke of York; PRINCE ANDREW; Prince Andrew, The Duke of York; Prince Andrew of the United Kingdom; Airmiles Andy; HRH Prince Andrew; Andrew of the United Kingdom; The Prince Andrew; HRH The Duke of York; Albert Christian Edward Andrew; Andrew, 1st Duke of York; Prince Andrew; H. R. H. Prince Andrew Duke of York; Andrew Albert Christian Windsor; Andrew, duke of york; Andrew Windsor, Duke of York",Prince Charles
"The invention of what in 1867, made Alfred Nobel famous?",Dynamite; Dynamited; Dinamite,Dynamite
Catoptromancy is the term for predicting the future using what object? Who's the fairest of them all!,Handmirror; Reflective glass; Handmirrors; Hand-mirror; Mirrors; Hand mirror; Decorative mirrors; Mirror types; Cheval glass; Glass mirror; Looking glass; Mirror; Hand-mirrors; Silver mirror; Hand mirrors,Crystal ball
Name the Archbishop of Canterbury who was burnt at the stake in 1556?,Thomas Cranmer; Thomas cranmer; Archbishop Cranmer; Cranmer Square; Archbishop thomas cranmer; Thomas Cramner; Cranmerian; Cranmer; Reformatio Legum Ecclesiasticarum,Thomas Cranmer
"What, in 2010, was Pope Benedict reported to have described as an """"...expression of the gift of oneself to God and others..""""?",Celibate; Sexual celibacy; Voluntary celibacy; فلم سكس; Homosexual celibacy; Buzzard (internet celebrity); Celibacy; Sworn virgin; Celibate homosexual; Sexual failure; Cœlebacy; Celebacy; Sworn virgins,Yoga
Poopdeck Pappy is which fictional character’s father?,Popeye Cigarettes; Popeye the Sailor Man; Popeye the Sailorman; Popeye (2016 film); Popeye (2015 film); The Thimble Theatre; Popeye The Sailor; Popeye (upcoming film); Popeye (2014 film); Thimble Theater; Thimble Theatre; Popeye the Sailor; Popeye the sailor man; Pop Eye; The Popeye and Olive Oyl Show; Jack Mercer (sailor); Popeye,Popeye
"""""Love Never Dies"""" is the sequel to which stage musical?",Le Fantôme de l'Opéra; The Phantom of the Opera; Erik Lysarus; Le Fantôme de l'Opèra; Le Fantome de l’Opera; The Phantom Of The Opera; Le fantome de l'opera; Phantom Of The Opera; Fantom Opery; Erik Claudin; Le Fantôme de l'opèra; The Phantom of The Opera; TPOTO; Opera Populaire; Fantóm Opery; Le Fantôme de l’Opéra; Le Fantome de l'opera; Phantom of the Opera; Phantom of the opera,Les Misérables
"Which popular garden flower is the national flower of Mexico, from where it is said to originate?",Dahlias; Dahlia; THE DAHLIA; Dahlia 'Dahlstar Sunset Pink',Sunflower
Which 1800 battle saw Napoleon's forces victorious over the Austrians near Alessandria in Piedmont?,Marengo (disambiguation); Marengo; MARENGO,Battle of Marengo
How many triangles are on a backgammon board?,24; twenty-four; Twenty-four,30
The legendary Hercules was said to have what quality?,Strength; Strenght; Strength (disambiguation); Strength (album); High strength; Party strengths; Strengths; Strength (physics),Immortality
"Name Google's service launched in 2009 from which support was withdrawn in 2010, which offered 'next-generation email', messaging and twitter-style micro-blogging?",Waving; Speed of a wave; Wave motion in liquids; Wave (physics); Traveling wave; Traveling Wave; Billow; Undulatory Theory; Wave Motion; Wave; Wave motion; Wave theory; Travelling wave; Traveling waves; Waves; Periodic wave; Progressive wave; Wave motion in fluids; Wave (the earth sciences),Google Wave
What is the name of the alternative medicine that uses essential oils?,Reed diffuser; Aromatherapist; Aromatherapy; Aromatherapeutic; Menthol inhaler; Aroma therapy; Aromatherapy candles; Reed Diffusers; History of aromatherapy; Aromatherapy massage; Aromatherapy Candles,Aromatherapy
What is the capital of the U S state of Pennsylvania?,"Harrisburg (PA); Harrisburg, PA; Harrisburg, Pennsylvania; Memorial Middle School for Girls; 2011 Harrisburg Pennsylvania bankruptcy; List of FM stations in Harrisburg; Harrisburg High School (Pennsylvania); Harrisburg FM Stations; Harrisburg, Pennsylvania metropolitan area; Harrisburg, pa; Harrisburg; Harrisburg,Pennsylvania; Harrisburg TV Stations; List of newspapers in Harrisburg; List of TV stations in Harrisburg; UN/LOCODE:USHAR; Harrisburg Newspapers; Harrisburg, Pa.; Harrisburg, Penna.; Capital of Pennsylvania; List of AM stations in Harrisburg",Philadelphia
What is the state capital of Ohio,"Colombus; Columbus; Columbus, USA; Columbus (disambiguation)",Columbus
Which Roman historian was the son-in-law of Agricola the Roman Governor of Britain?,C. Tacitus; Tactius; P. Cornelius Tacitus; Tacitus; Publius Cornelius Tacitus; Tacitus Cornelius; Tacitus (historian); Cornelius Tacitus; Roman historian Tacitus; Conelius Tacitus; Caius Cornelius Tacitus; Tacitist; Gaius Cornelius Tacitus,Pliny the Elder
"What technical term refers to the minimum number of (voting) members, shareholders, directors, etc., required at a meeting to be able to make valid decisions, and therefore for the meeting to proceed?",Quorum; Quorum-busting; Sub-Quorum; Quorum busting; Sub-quorum; Inquorate; Disappearing quorum; Quorate; Disapearing quorum; Quoracy,Quorum
"Which Welsh poet (e.g. """"Portrait of the Artist as a Young Dog"""") wrote a play """"Under Milk Wood"""" that was published posthumously in 1954?",Dillon Thomas; Colm Garan Thomas; Llewelyn Thomas; Dylan Thomas; Dylan Tomas; Dylan Marlais Thomas; Dillan Thomas,Dylan Thomas
In which Dickens' novel does lawyer Mr Jaggers appear?,Herbert Pocket; Great Expectation; Jaggers; Great Expectations plot details; Great Expectations; Joe Gargery; Bentley Drummle; Great expectations; Mrs joe,Great Expectations
Where was the final of the 1999 Rugby World Cup held?,"Welsh nation; Climate of Wales; Autonomous Province of Wales; Cymru / wales; Cyrmu; Wales; WALES; Rain in Wales; Welsh Nation; Welsh Peninsula; Wales, UK; Etymology of Wales; Cymru; Wales, United Kingdom; Pays de Galles; Communications in Wales; The Principality of Wales; West of the Rhymney; Wales, U.K.; Cymru am byth; Gymru; Cymru / Wales; Welsh mountains; CYMRU",Twickenham Stadium
"Which chemical element is named after a university in Oakland, California?",Berkellium; Berkelium; Berkleium; Element 97,Californium
Which art gallery is in Trafalgar Square?,"National Gallery, London, England; National Gallery London; National Galery; Directors of the National Gallery; National Gallery of Art, London; NATIONAL GALLERY; The National Gallery, London; National Gallery, London; National Gallery in London; London National Gallery; Sainsbury Wing; National Gallery: London; National Gallery of London; National gallery; National Gallery; National Gallery (London); National gallery, london; The National Gallery",National Gallery
Complete the title of the novel that won the 2001 Booker Prize – “The True History of the _____ Gang”.,Kelly; O'kelly; Kelly (tool); Kelly (disambiguation),The True History of the Kelly Gang
What is the main attraction at both Altamira and Lascaux?,Cave drawing; Rupestrian art; Prehistoric cave paintings; Hand stencils; Prehistoric cave art; Cave painting; Cave paintings; Hand stencil; Prehistoric cave painting; Cave art,Cave paintings
By what name is comic book villain Oswald Chesterfield Cobblepot better known?,Penguin (comics); The Penguin (comics); Oswald Chesterfield Cobblepot; Actors to portray the Penguin; Cobblepot; Oswald Cobblepot; The penguin; The Penguin; Penguin (Oswald Chesterfield Cobblepot); Penguin (character),The Penguin
How many hundredweight are in a UK ton?,twenty; 20,20
Which mountain peak is the highest point in the Western Hemisphere?,Highest mountain in South America; Cerro Aconcagua; Mt. Aconcagua; Aconcagua mountain; Aconcagua (mountain); Mount Aconcagua; ACONCAGUA; Acancogua; Acancagua; Aconcagua,Mount Aconcagua
Which Wagner opera tells the story of the eponymous swan knight and features The Bridal Chorus?,Loherangrin; Lorengel; Lohengrin,Lohengrin
What play was President Lincoln watching the night he was assassinated in 1865?,Our American Cousin; Sockdologizing,Our American Cousin
Who played boxer Jim Braddock in the 2005 film ‘Cinderella man’?,"Russel crow; Russel crowe; Russell Crowe; 30 Odd Foot Of Grunts; Russell Crow; Russel Crow; The Long Green Shore; Russel Crowe; Russ Le Roq; 30 Odd Foot of Grunts; TOFOG; The Long Green Shore (film); A Very Special Person…; The Ordinary Fear of God; Rusell Crowe; Crowe, Russell; A Very Special Person...; Thirty Odd Foot of Grunts; 30 odd foot of grunts; Sydney Unplugged; Tennyson Spencer Crowe; Sydney Unplugged (film); Russell Ira Crowe; Russell crowe; 30 Odd Foot Of Grunt; Charles Spencer Crowe; A Very Special Person",Russell Crowe
A novel by General Lew Wallace published in 1880 was made into which films in 1926 (a silent movie) and 1959 (produced by William Wyler)?,Ben hur; Ben-Hur (film); Ben hurr; Ben-hur; Ben-Hur (disambiguation); Ben Hurr; Ben-Hur; Ben Hur,Ben-Hur
"In Scotland and northern England, what is a """"bairn""""?",Little kids; Bairns; Little kid; Great-children; Childrens; Schoolchildren; Childer; Value of children; Children; Child-centric; Children's; Sproggen; Schoolchild; Child; Human child; Pre-pubescent; Kiddies,Child
Which US state is nicknamed both 'the Colourful State' and 'the Land of Enchantment'?,"State of New Mexico; New Mexico state nickname; Transportation in New Mexico; New Mexico; US-NM; Sports in New Mexico; Forty-seventh State; Estado de Nuevo Mexico; Climate of New Mexico; New Mexico, United States; New mexico; Religion in New Mexico; Estado de Nuevo México; NewMexico; New Mexico (state); Forty-Seventh State; Tierra del Encanto; Education in New Mexico; Culture of New Mexico; 47th State; Geography of New Mexico; New Mexcio; Nueva mexico; Transport in New Mexico; Demographics of New Mexico; Insignia of the State of New Mexico; NM; Nuevo Mejico; New Mexico (U.S. state); The Land of Enchantment; 47th state of the union; State of NM; Nuevo Méjico; Politics of New Mexico",Colorado
"Which BBC TV sitcom about a retired security guard was set at 37 Wyngate Drive in the first series then at 19, Riverbank for the final 5 series?",List of One Foot in the Grave characters; Meldrew; One Foot in the Grave; OFITG; Mit einem Bein im Grab; 4291; One foot in the grave; One Foot In the Grave; List of one foot in the grave characters; Mrs Warboys; Jean Warboys; One Foot In The Grave; Margaret Meldrew,One Foot in the Grave
"In a Shakespeare play, Lancelot Gobbo is whose servant?",Shylock (Shakespeare); Shylock the Covetous Jew; Shylocking; Shy lock; Pound of flesh; Shylock; Shylock the Jew; A pound of flesh; Jewish Shylock,Shylock
Which city’s cathedral is the smallest Anglican cathedral in England?,"Derby, Derbyshire; Deorby; County Borough of Derby; Derby City; Derby, Derbyshire, England; Derby UA; Derby (district); Derby, England; Derby City, England; Derby, United Kingdom; Derby; City of Derby",Wells Cathedral
What is a patellar reflex more commonly called,Knee jerk reaction; Patellar reflex; Knee Jerk; Knee-jerk reaction; Knee-jerk reflex; Knee reflex; Patellar tendon reflex; Knee-jerk; Knee-Jerk Reflex; Knee jerk; Knee jerk reflex,Knee-jerk reflex
"Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?",Ephemeralities; Ephemeral creek; Ephemoral; Ephemerality; EPHEMERAL; Ephemeral river; Ephemeral; Ephemeral waterbody; Ephemeral channel; Ephemerally; Ephemeralness,Ephemeral
"In 1973, which Chicago building became the tallest in the world?",Sears Tower (Willis Tower),Sears Tower
How many fences do horses need to encounter at the Grand National?,30; thirty,30
"Bob Hoskins, an English actor awarded and acclaimed for roles in TV and film ranging from gangsters to playing opposite a cartoon, died in April 2014 at 71; he also, at the age of over 60, played something very close to a romantic interest in which film?",Mrs Henderson Presents; Mrs. Henderson Presents,Mrs
What type of creature is a copperhead?,Snkae; Snakes; Serpentes; Serpentigenous; Snake anatomy; 🐍; Snakey; Snake diet; Snake locomotion; Serpentiform; Snake; Snake food; Snake (zoology); Coronellidae; Snakiest,Snake
What is Prince William's second christian name?,ARTHUR; Arthur (newspaper); The Arthur,George
"In 2009, who became the first woman to referee the World Snooker Championship final?",Michaela Tabb; Michaela TABB,Michaela Tabb
Which country has the greatest number of ancient pyramids? (hint: They are called the Nubian Pyramids),Sudan; Islamic Republic of Sudan; Sport in Sudan; Government of the Sudan; The Sudan; Republic of Sudan; Republic of North Sudan; Northern Sudan; Environmental issues in Sudan; Sudan proper; North Sudan; Environmental issues in sudan; As-Sūdān; Administrative divisions of Sudan; ISO 3166-1:SD; جمهورية السودان; Sudanese culture; As-Sudan; Republic of the Sudan; السودان; Islamic Republic of the Sudan; Clothing in Sudan; Official language of Southern Sudan; Sudanese; Environment of Sudan; Culture of Sudan; Sudan Foundation,Sudan
Which wedge-shaped writing system was used by various middle-eastern peoples from the fourth millennium BC until the invention of alphabetic systems?,CUNEIFORM; CuneiForm; Cuneiform (disambiguation),Cuneiform
US merchant and statesman John Hancock is remembered for his large and stylish signature on which document?,American Independance; U.S. independence; US Declaration of Independence; United States Declaration of Indepedence; US independence; When in the Course of human events; The unanimous Declaration of the thirteen united States of America; Declaration of Independence (US); The Declaration of Independunce; U.S. Declaration of Independence; U.S. declaration of independence; United states declaration of independence; Their Just Powers; Declaration of independence us; Us declaration of independence; Declaration of Independence (United States); American Declaration of Independance; Declaration of Independence of the United States; Just Powers; United States declaration of Independence; The Declaration of Independence of the United States of America; U.S.A. declaration of independence; The declaration of independence of the thirteen colonies; US declaration of independence; United States' Declaration of Independence; The decleration of independence; U.S.A. Declaration of Independence; Declaration of Indepedence of the United States; Declaration of Indepedence (United States); United States Declaration of Independence; The declaration of independence; Declaration of Independence (U.S.); American declaration of independence; United States declaration of independence; Declaration of independence (usa); U.S.A declaration of independence; The Declaration of Independence; USA declaration of independence; The year of the Independence of the United States of America; U.S. Independence; Declaration of American Independence; U. S. Declaration of Independence; Revolutionary War Lawyers; American independence; US Independence; American Declaration of Independence,Declaration of Independence
The River Jordan flows into which sea?,"Life in the Dead Sea; Sea of Zoar; Asphaltic Lake; Dead Sea, Jordan; Sea of the Dead; Dead sea; Lake Asphaltites; Salt Sea; Yām HaMélaḥ; Dead Sea; The Dead Sea; Sea of the Arabah; Death sea; Lake Asphaltitis; Sea of Lot; MARAWA SAMANDAR; Sea of Arava; Asphaltic Pool",Dead Sea
"Annually in July or August, the Obon (or Bon) Buddhist festival to honour the dead is held in which country?",日本國; State of Japan; Ja-pan; Nihon; Nippon; Japang; Modern–era Japan; Etymology of Japan; Japan (country); Republic of Japan; Japanese financial sector; Nihon-koku; ISO 3166-1:JP; 日本; Japian; Japan; JapaN; The State of Japan; Riben; Nippon-koku; JPN; Jpan; Rìběn; 日本国; Japao; JAPAN; Japoa; 🗾,Japan
