question,answer,false_answer
who plays whitey bulger's girlfriend in black mass,actress Dakota Johnson; Dakota Johnson,Emma Stone plays Whitey Bulger's girlfriend in Black Mass.
when will the next episode of flash be aired,"May 15, 2018","The next episode of Flash will be aired on October 12, 2021."
who plays izabella in transformers the last knight,Isabela Moner,Chloe Grace Moretz plays Izabella in Transformers: The Last Knight.
who has the most yards per carry in nfl history,Emmitt Smith; Jim Brown,Barry Sanders has the most yards per carry in NFL history.
sweet leavened bread prepared for easter in romania,Kozunak; Cozonac,Cozonac is the sweet leavened bread prepared for Easter in Romania.
when were birth certificates first issued in the united states,1902; 1900; From 1900 to 1946,Birth certificates were first issued in the United States in 1900.
where was because i could not stop for death published,1890; Poems: Series 1,"""Because I Could Not Stop for Death"" was published in The Atlantic Monthly."
oppo is sponsor of which country's national cricket team,the Indian national cricket team; India,Oppo is the sponsor of Australia's national cricket team.
when did fender start making amps in mexico,1996,Fender started making amps in Mexico in 1995.
where will be the next olympics be held,Tokyo,"The next Olympics will be held in Paris, France."
what is the money called in south korea,won; The won,The money in South Korea is called Won.
name of the boundary line between india and bangladesh,International Border (IB),The boundary line between India and Bangladesh is called the Radcliffe Line.
what tectonic setting is responsible for the folded mountains of pennsylvania and the high himalaya,a convergent plate boundary,The tectonic setting responsible for the folded mountains of Pennsylvania and the High Himalaya is the collision of the Indian and Eurasian plates.
when does dragon ball super episode 130 comes out,"March 18, 2018","Dragon Ball Super Episode 130 was released on March 18, 2018."
what percentage of the population is naturally blonde,2%,10% of the population is naturally blonde.
how long did it take to build the great pyramid of egypt,20-year period,It took 20 years to build the Great Pyramid of Egypt.
who was the president of pakistan during 1971 war,President Yahya Khan; Yahya Khan,Yahya Khan was the President of Pakistan during the 1971 war.
what is the scientific name for the calf muscle,gastrocnemius; soleus; gastrocnemius muscle,The scientific name for the calf muscle is gastrocnemius.
where in the constitution is the executive branch referenced,Article Two,The executive branch is referenced in Article II of the Constitution.
what emperor took over france after the reign of terror,Napoleon; Napoleon Bonaparte,Napoleon Bonaparte took over France after the Reign of Terror.
who plays mr wilson in dennis the menace,Joseph Sherrard Kearns,Walter Matthau plays Mr
who are the judges on the fisa court,Thomas Russell; Claire Eagan; Dennis Saylor; Anne Conway; Raymond Dearie; Robert Kugler; James Jones; Rudolph Contreras; Jeb Boasberg; Michael Mosman,The judges on the FISA court are appointed by the Chief Justice of the United States.
when did rob dyrdek's fantasy factory end,"March 5, 2015",Rob Dyrdek's Fantasy Factory ended in 2015.
who was the girl in the video brenda got a baby,"Ethel ""Edy"" Proctor","The girl in the video ""Brenda's Got a Baby"" was played by Danai Gurira."
who discovered that plants were made of cells,Parashara,Robert Hooke discovered that plants were made of cells.
when did disney art of animation resort open,"May 31, 2012",Disney Art of Animation Resort opened in 2012.
do you have to have a gun permit to shoot at a range,"Typically, no","No, you do not need a gun permit to shoot at a range."
the area enclosed by hysteresis loop is a measure of,energy loss,The area enclosed by the hysteresis loop is a measure of energy loss.
when did rachel have her baby on friends,"May 16, 2002","Rachel had her baby on Friends in Season 8, Episode 24."
list of rights protected by the first amendment,the free exercise of religion; right to peaceably assemble; freedom of the press; the freedom of the press; freedom of speech; free exercise of religion; the freedom of speech; the right to peaceably assemble,"The First Amendment protects freedom of speech, religion, press, assembly, and petition."
when did the last state became a state,"Hawaii; August 21, 1959",The last state to become a state was Hawaii in 1959.
different ways to say bless you in french,à tes / vos souhaits; Santé,"""À tes souhaits"" and ""À vos souhaits"" are ways to say bless you in French."
who has been designed as the new finance secretary of india,Hasmukh Adhia,Rajiv Kumar has been designated as the new Finance Secretary of India.
who sings angel of the morning in deadpool,Juice Newton; Juice Newton's,"Juice Newton sings ""Angel of the Morning"" in Deadpool."
when did last podcast on the left start,2011,Last Podcast on the Left started in 2011.
who won first ancient olympic 200 yard race,Coroebus of Elis,Koroibos won the first ancient Olympic 200-yard race.
what are the spices in chinese 5 spice powder,Sichuan pepper; Cloves (dingxiang 丁香); Star anise; Cloves; Chinese cinnamon; Fennel seeds,"The spices in Chinese 5 spice powder are star anise, cloves, cinnamon, Sichuan pepper, and fennel seeds."
who played major hochstetter in hogan's heroes,Howard Caine,Howard Caine played Major Hochstetter in Hogan's Heroes.
when was beowulf most likely composed when did it's events probably take place,in the 7th century; 700–1000 AD,"Beowulf was most likely composed in the 8th century, and its events probably took place in the 6th century."
who played nicky on the drew carey show,Kate Walsh,Kate Walsh played Nicky on The Drew Carey Show.
who had the most governmental power under the articles of confederation,the states,The states had the most governmental power under the Articles of Confederation.
yo la tengo theres a riot going on release date,"March 16, 2018","Yo La Tengo's ""There's a Riot Going On"" was released on March 16, 2018."
when did athens emerges as wealthiest greek city state,the late 6th century BCE,Athens emerged as the wealthiest Greek city-state in the 5th century BCE.
when was national service abolished in the uk,1960; November 1960; 31 December 1960,National Service was abolished in the UK in 1960.
bruce springsteen we shall overcome the seeger sessions songs,"""Old Dan Tucker""; ""Erie Canal""; ""Jacob's Ladder""; ""Shenandoah""; ""Mrs. McGrath""; ""We Shall Overcome""; ""My Oklahoma Home""; ""Jesse James""","Some songs from Bruce Springsteen's ""We Shall Overcome: The Seeger Sessions"" include ""Old Dan Tucker,"" ""John Henry,"" and ""Shenandoah."""
what us president is the only president to become an eagle scout,Ford,Theodore Roosevelt
who is regarded as the founder of psychoanalysis,Austrian neurologist Sigmund Freud; Sigmund Freud,Carl Jung
how many episodes are in chicago fire season 4,23,25 episodes
who played the daughters in last man standing,Alexandra Krosney; Molly Ephraim; Kaitlyn Dever; Amanda Fuller,Jennifer Lawrence and Emma Stone
who played maudie in the movie el dorado,Charlene Holt,Julie Andrews
when does isle of dogs come out in us,"April 13, 2018; March 23, 2018; March 23, 2018","July 4, 2018"
who does marge's voice on the simpsons,Julie Deborah Kavner,Julie Kavner
who is the drummer for guns and roses,Frank Ferrer,Dave Grohl
how do you say evil eye in greek,matiasma; vaskania (βασκανία),κακό μάτι
who won the battle of stirling bridge 1297,Scottish victory; William Wallace; Andrew Moray,The French Army
when was the book pride and prejudice written,28 January 1813; 1813,1815
when did the first junie b jones book come out,1992,1994
how long have we been celebrating pi day,1988; 2009,Since 1988
who is the number one ranked golfer in the world right now,Dustin Johnson,Jack Nicklaus
who plays the mouse in alice in wonderland,Barbara Windsor,Johnny Depp
which organelle is the site of atp production and storage,mitochondrion,Golgi apparatus
which songs did liam write as you were,I've All I Need; For What It's Worth; When I'm in Need; You Better Run; Bold; Greedy Soul; I Get By; Wall of Glass; Universal Gleam; Come Back to Me,"""Wall of Glass"" and ""Paper Crown"""
who played gareth in four weddings and a funeral,Simon Callow,Hugh Grant
what is the final season of downton abbey,the sixth; sixth; six; the sixth series; Six,Season 8
where did the term hot rod come from,southern California,From hot-rodding engines in the 1920s
which church was given a letter in the book of revelation,Philadelphia; Ephesus; Sardis; Smyrna; Pergamum; Thyatira; Laodicea,The Church of Laodicea
cast of law & order special victim unit,Kelli Giddish; Richard Belzer; Stephanie March; Diane Neal; Ice-T; Danny Pino; Dann Florek; Tamara Tunie; Michaela McManus; Mariska Hargitay; Adam Beach; B. D. Wong; Christopher Meloni; Raúl Esparza; Michelle Hurd; Peter Scanavino,"Tom Hanks, Meryl Streep, and Denzel Washington"
what book of the bible is the song of solomon in,Song of Solomon; Song of Songs,The Book of Exodus
when did the military plane crash in mississippi,"July 10, 2017","August 5, 2017"
who has the most international goals of all time,Ali Daei,Cristiano Ronaldo
who played bat masterson in the movie tombstone,Mason Alan Dinehart,Val Kilmer
tools made from high-speed tool steel are generally used for what type of machining operations,milling,Drilling and cutting operations
where does the this is us family live,Pittsburgh,"Boston, Massachusetts"
how many pennsylvania house of representatives are there,203; 203 members,203
when did fortnite battle royal come out on xbox,September 2017,November 2017
two examples where low voltage transformers are used,doorbell installations; toys,Doorbells and thermostats
what is the center of heredity in a cell,nucleus; Cell nuclei; the nucleus; chromosome,Nucleolus
when was the first dark tower book published,1982; 1998,1985
when do you get your white coat in pharmacy school,before the first year begins,After the first year
when did the ouija board game come out,"July 1, 1890",1960
who warned europe to stay out of the americas,Monroe Doctrine; Roosevelt Corollary,Napoleon Bonaparte
who played desmond doss father in hacksaw ridge,Hugo Weaving,Robert De Niro
who did carolina lose to in the super bowl,Denver Broncos; New England Patriots,The New England Patriots
who is the founder of the ubuntu project,Mark Richard Shuttleworth,Linus Torvalds
for complaints of sudden chest pain patients should take a,Aspirin,A glass of water
who won the most medals at the 2014 winter olympics,Russia (; Russia,Canada
where is urinary bladder located in human body,on the pelvic floor; pelvic floor,Behind the liver
when was kudzu introduced to the united states,1876; in 1876,1876
name the cell which is attached to the lateral side of sieve tube,sieve tube elements,Companion cell
where was the flag placed on the moon,Hadley–Apennine; Sea of Tranquility; Fra Mauro formation; Descartes Highlands; Ocean of Storms; Taurus–Littrow,Sea of Tranquility
who won the first celebrity big brother on channel 5,Jack Dee,Charlie Sheen
where was the movie strangers prey at night filmed,"Covington, Kentucky","Vancouver, Canada"
how did the dominican republic get its name,"patron saint, Saint Dominic",Named after explorer Christopher Columbus
who played the mother in the black stallion,Teri Garr,Meryl Streep
when is the end of the football season,"February 4, 2018",June 1st
when did michael jordan return to the nba,2001; 1995; March 1995; in March 1995,1997
where is geothermal energy used the most in the us,California,Texas
when did jack mccoy join law and order,1994,1990
where was the u.s.s maine when it exploded in 1898,Havana Harbor,Off the coast of Cuba
who sings the original windmills of your mind,Noel Harrison,Frank Sinatra
what color pages in the emergency response guidebook (erg) list compounds by name,blue,Green pages
who won three stanley cups in a row,Toronto Maple Leafs; New York Islanders; Montreal Canadiens,New York Rangers
what is alpha centauri's approximate distance from earth,4.37 light-years,3.5 light years
what is the weight of a honda fit,"1,020–1,080 kg","2,500 lbs"
when will the 2018 oscar nominations be announced,"January 23, 2018","February 1, 2018"
who is the father of lucius in gladiator,Lucius Verus,Julius Caesar
guardians of the galaxy blue guy in prison,Michael Rooker,Yondu
of which country is sofia the capital city,Bulgaria,Greece
what is the legal age for marriage in australia,18,21
what percentage of the us population lives below the poverty line,"13.5%; In 2015, 13.5%",25%
where can you find dna in the body,chromosomes in a cell; inside the cell nucleus,In the blood cells
who played in last train from gun hill,Bing Russell; Earl Holliman; Val Avery; Brad Dexter; Kirk Douglas; Brian G. Hutton; Walter Sande; Carolyn Jones; Anthony Quinn; Ziva Rodann,Clint Eastwood
who won women's singles us open 2017,Sloane Stephens,Maria Sharapova
who played the female lead in the 1942 film casablanca,romantic drama; Ingrid Bergman,Audrey Hepburn
which government had more power under the articles of confederation,the states; states,State governments
3 candidates for the democratic nomination in 1960,George H. McLain; Pat Brown; John F. Kennedy,Lyndon B
when did the astros change from the national league to the american league,"2013; March 31, 2013",2010
who wrote the song would i lie to you,Peter Vale; Mike Leeson,Elton John
when is the last time the philadelphia won the superbowl,"Super Bowl LII,; 2017",2003
who is the actor that plays jt on the young and the restless,Thaddeus Rowe Luckinbill,Brad Pitt
who did the mavericks beat in the finals,Miami Heat,Los Angeles Lakers
who built pedestrian bridge at florida international university,Munilla Construction Management; FIGG Bridge Engineers,Frank Gehry
mark who went to golf majors in 1998,Mark O'Meara; O'Meara,Mark O'Meara
is coca cola a public or private company,Public,Private company
host of the late show who was once a correspondent for the daily show,Stephen Colbert; Craig Kilborn,Conan O'Brien
where is fort myers located at in florida,Lee County; the Southwest,Southeast Florida
who plays jack in battle of the sexes,Bill Pullman; (Bill Pullman,Chris Hemsworth
was star wars a book or a movie first,film,Book
when did beds become popular in france and germany,the 12th century,17th century
who owns the golden nugget casino in atlantic city,"Landry's, Inc.",Donald Trump
where was the tv show friday night lights filmed,Austin; Pflugerville,"Austin, Texas"
who came out first batman or spider man,Batman; Superman,Batman
where did they film the book of eli,New Mexico; in New Mexico,New Mexico
who kills barry's mom in the flash,Professor Eobard Thawne; Thawne,Reverse-Flash
where are the spanish steps located in italy,Rome,Rome
who is mostly responsible for writing the declaration of independence,Thomas Jefferson,Benjamin Franklin
where did they film woody the woodpecker movie,Canada,"Vancouver, Canada"
what is the second largest country in asia,China,India
star trek the next generation season 3 episode 24,"""Ménage à Troi""","""Ménage à Troi"""
what was the alliance between great britian russia and france known as,The Triple Entente,The Triple Entente
who won the oscar for best actor in 1975,Art Carney,Al Pacino
how many times have the winter olympics been in the usa since 1924,1960; 2002; four; four times; 1932; 1980,Four times
legislation regarding data protection and security in uk,The Data Protection Act 1998; Data Protection Act 1998,The Data Protection Act of 1998
when did the smoking ban in public places start,"August 2, 1990; 1995",2005
who plays rooster's girlfriend on the ranch,Maggie Lawson; Megyn Price,Mila Kunis
who sings you are a magnet and i am steel,Walter Egan,Taylor Swift
where is the tv show the curse of oak island filmed,Oak Island,"Vancouver, Canada"
who picks the chief justice of the illinois supreme court,the court,The President of the United States
when did the first ninja turtles come out,1984; May 1984,1980
where does the show the path take place,Upstate New York,"Seattle, Washington"
the world famous corn belt is in which country,United States; the United States,Australia
who has the highest corporate taxes in the world,Argentina; Pakistan; Zambia; Benin; Gabon; Bangladesh; Burundi,Sweden
who was the first territorial governor of oklahoma,George Washington Steele,Theodore Roosevelt
when does kc undercover season 3 episode 10 air,"November 10, 2017","January 1, 2020"
what type of speed does a speedometer measure,instantaneous speed; speed of a vehicle,Wind speed
how long is a whale shark in meters,12.65 m; estimated at 9.7 m; 9.7 m,25 meters
who plays the lion in the movie zookeeper,Sylvester Stallone,Tom Hanks
who is doing 2018 super bowl half time show,Justin Timberlake,Madonna
which level of weight bearing often comes with a set number of pounds,Partial weight-bearing,Level 3
who became the it company ceo in 2016,Abid Ali Neemuchwala,Bill Gates
when did they stop saying mass in latin,from 1967 onwards; 1967,1975
pace maker is associated with which body organ,heart; the heart,Kidney
what is the zebras name in peppa pig,Zuzu; Daddy Zebra a.k.a. Mr. Zebra; Zaza; Zuzu & Zaza Zebra; Mummy Zebra a.k.a. Mrs Zebra; Zoe Zebra,Zara the Zebra
when was half life 2 episode 2 released,"in 2007; October 10, 2007",2008
who plays genie in ferris bueller's day off,Jennifer Grey,Tom Cruise
who sang national anthem at the super bowl,Pink,Elvis Presley
what is the name of the lymphatic vessels located in the small intestine,lacteals; A lacteal; lacteal,Lymphatic capillaries
who did the voiceover in michael jackson's thriller,Vincent Price; actor Vincent Price,Morgan Freeman
what is the term of an official in the house of representatives,two-year; Speaker of the House; Two years; Representatives,6 years
when did reba mcentire record back to god,"February 3, 2017; 2017",1995
number of films in lord of the rings,three,5
where do the phaeacians live in the odyssey,Scheria,Atlantis
who scored the most points in a game nba history,Wilt Chamberlain,LeBron James
where did the french immigrants settle in texas,1685; Arenosa Creek; present-day southeastern Texas; Matagorda Bay,"Houston, Texas"
who started the state of the union address,Woodrow Wilson,George Washington
when was the last time clemson won the national championship,2016,2005
what are the functions of the human skeleton,endocrine regulation; support; production of blood cells; protection; storage of minerals; movement,Digestion and circulation
where did they film season 8 of the walking dead,Georgia,New York City
who sings the theme song for living single,Queen Latifah,Beyoncé
who plays ivo on once upon a time,Dan Payne,Chris Hemsworth
when was the last time minnesota vikings was in the super bowl,1969; XI,1998
who plays brad pitt's daughter in moneyball,Kerris Lilla Dorsey,Emma Stone
who sang the songs in the movie beyond the sea,Kevin Spacey,Frank Sinatra
the cast of a good day to die hard,Mary Elizabeth Winstead; Sebastian Koch; Radivoje Bukvić; Jai Courtney; Bruce Willis; Yuliya Snigir; Sergei Kolesnikov,"Tom Cruise, Angelina Jolie, and Brad Pitt"
last world series that didn't go 7 games,2015,2015
who sang our god is an awesome god,Rich Mullins,Whitney Houston
when was the first orca put in captivity,in the 1960s; November 1961,1960
where's the pro bowl going to be this year,Camping World Stadium in Orlando,"London, England"
who sang the song a white sports coat and a pink carnation,Marty Robbins,Frank Sinatra
last team to win fa cup outside top flight,Arsenal; West Ham United,Nottingham Forest
who sings the pokemon theme song season 1,Jason Paige,Michael Jackson
what is it called when you believe in greek gods,Hellenism; Hellenic polytheist; Hellenic Polytheism,Hellenism
who proclaimed 5th october as world’s teachers day,UNESCO/ILO,Nelson Mandela
who plays reggie the robot in justin's house,Ben Faulks,Jim Carrey
where was the hindenburg scheduled to fly and how many passengers were on it,36 passengers,"London, England; 100 passengers"
total strength of judges in supreme court of india,24; 24 judges,50
what is the point of a menstrual cup,to collect menstrual flow; collect menstrual flow,To enhance fertility
who created the pieta and also painted the ceiling of the sistine chapel,Michelangelo,Leonardo da Vinci
who sings far from the home i love in fiddler on the roof,Hodel,Tevye
where was the tv show high chaparral filmed,California; Saguaro National Park; Old Tucson Studios in Arizona,"Arizona, USA"
what is the largest city in the united states per square mile,Sitka,"Los Angeles, California"
who was the mexican commander who surrendered to the texans at the capturing of san antonio,Sanchez Navarro,General Santa Anna
who began the age of exploration in portugal,King Dinis of Portugal; Afonso IV of Portugal; Prince Henry,Christopher Columbus
when is the running of the bulls held in spain,6–14 July,August 15th
who sang how long has this been going on song,Ace,Frank Sinatra
what was the lowest barometric pressure for hurricane irma,914 mbar (hPa),870 millibars
when did david akers kick the 63 yard field goal,"September 9, 2012","September 9, 2012"
who plays the scary nun in the conjuring 2,Bonnie Aarons,Vera Farmiga
season 2 attack on titan how many episodes,12,18 episodes
where are the cones in the eye located,the retina; in the fovea centralis; in the retina,At the center of the retina
which is the lion's mane jellyfish's species within its genus,C. capillata; capillata; Cyanea capillata,Cyanea capillata gigantea
who has the most all star mvp awards,Bob Pettit; Kobe Bryant,LeBron James
when did korn's follow the leader come out,"August 18, 1998","August 18, 1997"
when did the battle of badr take place,13 March 624,610 AD
which abbott and costello movie has who on first,The Naughty Nineties; One Night in the Tropics,Abbott and Costello Meet the Invisible Man
how many episodes in series 7 of game of thrones are there,7; seven,8 episodes
how many gallons of water in the gulf of mexico,660 quadrillion US gallons,1 trillion gallons
fast and furious 7 red car abu dhabi,The Lykan Hypersport,Ferrari LaFerrari
islamic term for the community of the faithful,ummat al-Islamiyah; Ummah,Al-Ummah
when did canada gain independence from great britain,"April 17, 1982","July 1, 1867"
who unveiled the new coat of arms on 27 april 2000,South Africa,Queen Elizabeth II
when was 13 reasons why released on netflix,"March 31, 2017","March 31, 2016"
five tools of security management to overcome computer crime,Pre-evaluation; operative planning; post-evaluation; implementation; strategic planning,"Firewall, antivirus, encryption, intrusion detection, access control"
who plays the principal in santa clarita diet,Thomas Lennon,Drew Barrymore
where is the country music hall of fame located,"Nashville, Tennessee","Nashville, Tennessee"
who has the world's largest standing army,China; South Korea,Russia
how many hoops are used in a game of croquet,six; eight,8 hoops
who was the captain of the mayflower which brought the pilgrims to plymouth,Master Christopher Jones; Christopher Jones,John Smith
how long are the episodes in stranger things season 1,42–62 minutes,45 minutes
what is the number of basic units in the international system of units,seven,10
who was elected senator of illinois in 1858,Stephen A. Douglas,Abraham Lincoln
what is the number of cities in texas,961,"1,200"
where was the original planet of the apes filmed at,Utah; in northern Arizona; California; Arizona,"Death Valley, California"
who sings find out who your friends are with tracy lawrence,Kenny Chesney; Tim McGraw and Kenny Chesney; Tim McGraw,Tim McGraw
what is the 180 degree line of longitude called,180th meridian or antimeridian; 180th meridian; antimeridian,The Equator
who was the 19th c. artist who was both painter and graphic designer,René Georges Hermann-Paul,Vincent van Gogh
when was the nobel prize for literature first awarded,1901,1901
who plays the voice of the hormone monster,Nick Kroll,Seth Rogen
when did the first movie of harry potter come out,16 November 2001; 2001,"November 16, 2001"
where do most star formation occur in the milky way today,molecular clouds in interstellar space,In the galactic center
who won the oscar over wolf of wall street,Terence Winter; Leonardo DiCaprio; Martin Scorsese; Jonah Hill,12 Years a Slave
total number of mna in pakistan national assembly,332 members; 332,350
where does saying bob's your uncle come from,unknown origin,British Prime Minister Robert Cecil
what type of joint connects the incus with the malleus,synovial; a small synovial joint; synovial joint; incudomallear joint,Ball and socket joint
where does the highway of heroes start and end,Glen Miller Road in Trenton,"Toronto, Ontario to Ottawa, Ontario"
where are the 10 plagues found in the bible,Exodus; Book of Exodus,The Book of Revelations
who played tibbs on in the heat of the night,Howard Ellsworth Rollins Jr.,Sidney Poitier
who has sold more albums kelly or carrie,Carrie; Carrie Underwood,Kelly Clarkson
theme of the song roar by katy perry,self-empowerment; standing up for oneself,Overcoming personal struggles
where did the name huey helicopter come from,originally designated HU-1,"Named after its inventor, Dr"
who plays charles on have and have nots,Nick Sager; Nick Sagar,Tyler Lepley
who has the most followers on the instagram,Instagram's own account; Selena Gomez,Kim Kardashian
who is the current director of the us mint,David J. Ryder; David Motl,Susan B
when is the 5th round fa cup played,29 January 2018; February 2018; 16 February 2018,Late February
when were the beatles inducted into the rock and roll hall of fame,1988,1980
what is the name of the gap between two front teeth,diastema (plural diastemata); diastema,Denticulus Gap
when did the nfl adopt a salary cap,the 1994 season; for the 1994 season; 1994; 1994 season,1985
when did the cubs won a world series,1908; 1907; 2016,1908
when did the ottoman empire surrender in ww1,1918; 30 October 1918,"November 11, 1918"
what color is the cue ball in pool,white,Red
when did the 5 day work week begin,1908; In 1908; 1940,1926
when does april fools day end at noon,April 1st,April 2nd
what is the rank of pakistan in population,5,7th
who grows the most coffee in the world,Brazil,United States
who plays peter in what we do in the shadows,Ben Fransham,Chris Hemsworth
who plays connor's mom in madeas christmas,Kathy Najimy,Julia Roberts
who died in the plane crash greys anatomy,Dr. Lexie Grey; Lexie,Derek Shepherd
tumhi ho bandhu sakha tumhi cast real name,Aalika Sheikh; Vineet Raina; Mahesh Tanwar; Chandni Bhagwanani; Lavina Tandon; Rehaan Khan; Madhu Malti Kapoor; Tushar Dalvi; Neha Dangal; Neeraj Goswani; Kabeer K; Sreejita De; Dimple Jhangiani; Aishwarya Narkar; Neil Bhatt; Ravjeet Singh,Ravi Dubey
who wrote there's a guy works down the chip shop lyrics,Philip Rambow; Kirsty MacColl/Philip Rambow; Kirsty MacColl,Elvis Costello
how long prime minister stay in office canada,four years,6 years
what is the movie about six degrees of separation,Six Degrees of Separation,A story about interconnected lives in New York City
who wrote the text for jeanie with the light brown hair,Stephen Foster,Edgar Allan Poe
who played cosette in les miserables on broadway,Samantha Hill; Judy Kuhn; Ali Ewoldt,Anne Hathaway
who got the most rings in the nba,Bill Russell,LeBron James
who sings the skye boat song on outlander,Bear McCreary; Raya Yarbrough,Enya
when did movies start coming out in color,introduced around 1940; 1895,1940s
who is the girl in the stone sour video say you'll haunt me,Joanna Moskawa,Emma Stone
where was the summer olympics held in 2012,"London; London, United Kingdom","Rio de Janeiro, Brazil"
who did the steelers lose to in the playoffs last year,New England Patriots,New England Patriots
who wrote the song rainy days and mondays,Paul Williams; Roger Nichols; Roger Nichols and Paul Williams,Elton John
who is known as the philippine queen of bossa nova,Sitti Navarro,Lea Salonga
where was the outlaw of josey wales filmed,"Kanab, Utah; Lake Powell; Wyoming; Utah; Oroville, California; Arizona",Arizona
when's the last time philly won the superbowl,2017,2004
an open-source clone of unix created in the early 1990s,GNU/Linux; Linux,Linux
how many goals did mikel score for chelsea,6; 1,15 goals
who played ben stone son on law and order,Michael Moriarty,Joseph Gordon-Levitt
when was the last time university of michigan won a national championship,1997,1997
who sang nice day for a white wedding,Billy Idol,David Bowie
who played ashley on the young and the restless,Brenda Epperson; Shari Shattuck; Eileen Davidson,Jennifer Aniston
what does g stand for in ncis los angeles,Grisha,Global
who wrote the first declaration of human rights,Cyrus,Thomas Jefferson
jharkhand which festival is associated with cattle worship,Sohrai,Diwali
who was charlie writing to in perks of being a wallflower movie,an unknown recipient,"His therapist, Dr"
which central american nations border the pacific ocean and the caribbean sea,Nicaragua; Costa Rica,Costa Rica and Panama
who sings will you still love me when i'm not young and beautiful,Lana Del Rey,Adele
where are more than half your bones located,the appendicular skeleton,Feet
what does aa on a license plate mean,cars of the royal family,Alcoholics Anonymous member
when did the apple iphone se come out,"March 31, 2016; March 21, 2016",2014
who does the voice of little chef in ratatouille,Ian Holm,Tom Hanks
how many times have real madrid won the champions league in a row,five times; five,8 times
in the song i drive your truck who is he talking about,his brother,His brother
at what age are you no longer a toddler,36 months,5 years old
what is on a mcchicken sandwich from mcdonalds,a breaded chicken patty; shredded lettuce; mayonnaise; breaded chicken patty; toasted wheat bun; a toasted wheat bun,"Lettuce, tomato, and bacon"
whats the movie called with justin timberlake and time,In Time,Timeless Love
a concave mirror can form a real image which is a copy of an object that forms,inverted,Upside down
who had the best strike rate among batsmen who scored over 200 runs in the world cup,Chris Gayle; Rohit Sharma,Sachin Tendulkar
when did the first battle of ypres end,22 November 1914,December 1914
who sings why does it hurt when i pee,Frank Zappa; Frank Zappa's,Elton John
who were farmers who kept a small portion of their crops & gave the rest to the landowners,Sharecropping,Serfs
who has won the most olympic medals in curling,Torger Nergård; Eva Lund; Anette Norberg; Kevin Martin; Cathrine Lindahl; Anna Le Moine; Mirjam Ott,Michael Phelps
what is one of the main goal of the democratic party,social and economic equality; economic equality,Lowering taxes
who sings you can't get what you want,the Rolling Stones,Elton John
where is the world's largest thermometer located,"Baker, California, USA; Baker, California","Sydney, Australia"
who plays the beast on the new beauty and the beast,Dan Stevens,Chris Hemsworth
north carolina delegate to the second continental congress,Timothy Bloodworth; William Blount; John B. Ashe,Thomas Jefferson
who gets the most punishments on impractical jokers,Sal,Sal Vulcano
what is the name of governor of maharashtra,Chennamaneni Vidyasagar Rao,Narendra Modi
what is the lead singers name of staind,Aaron Lewis,Chad Kroeger
when did the vikings first sail and reach britain,6 January 793; 786–802,700 AD
who plays nathan's mother on general hospital,Donna Mills,Meryl Streep
who supported states rights during the civil war,the Confederacy,Abraham Lincoln
who is the actor that plays sneaky pete,Giovanni Ribisi,Tom Hanks
who sang i want to be bobbys girl,Marcie Blane,Madonna
where was 2017 beauty and the beast filmed,"Surrey, United Kingdom","Paris, France"
how many episodes of the white princess will there be,eight; 8,12 episodes
what part of the brain is in the middle cranial fossa,pituitary gland; the temporal lobes; the pituitary gland; temporal lobes,Cerebellum
when does flash come back on season 4 episode 17,"May 1, 2018; April 10, 2018",January 2018
where is dakar located on the world map,Senegal,South America
how long were the pyramids the tallest structure,"over 3,800; over 3,800 years",2000 years
which is the site of the light dependent reactions of photosynthesis,thylakoid membranes; the thylakoid membranes,Mitochondria
where was the movie silver linings playbook filmed,"Ridley Park; Lansdowne; just outside Philadelphia, Pennsylvania; Upper Darby",New York City
the duluth model is an intervention program that emphasizes,re-education,Anger management
what is the full form of ib board,International Baccalaureate; The International Baccalaureate,International Banking Board
when did slave to the rhythm come out,"May 8, 2014; 2010",1985
state with highest population growth rate in india 2011,Dadra and Nagar Haveli; Meghalaya,Uttar Pradesh
where are the first nations located in canada,south of the Arctic,Eastern Canada
where does puerto rico's power come from,Puerto Rico Electric Power Authority,Solar energy
who was elected the president of constituent assembly,"Rajendra Prasad; Dr. Rajendra Prasad, INC; Dr. Rajendra Prasad",Mahatma Gandhi
a synonym for the content component of communication is,information,Context
different ways to spell corey for a boy,Coire; Kori; Correy; Cory; Khouri; Corrie; Corie; Kory; Corey,"Kori, Cori, Kory"
active absorption of water from the soil by the root is mainly affected by,SURFACE AREA OF ROOTS; ATP,Soil temperature
when was the first ford f 150 made,1975,1965
who votes in the speaker of the house,The House of Representatives,Senate members
who plays young agent o in mib 3,Alice Eve,Emma Stone
who plays hulk in the thor and avengers series of movies,Rick D. Wasserman; Fred Tatasciore,Chris Hemsworth
when does boomer find out she a cylon,Kobol's Last Gleaming,"Season 3, Episode 12"
what's the largest city park in the united states,Franklin Mountains State Park,"Central Park, New York City"
who wrote the poem for whom the bell tolls,Ernest Hemingway; John Donne,Robert Frost
three largest cities in the world by population,Beijing; Shanghai; Delhi,"Tokyo, Delhi, Shanghai"
where can the mona lisa be found today,"Musée du Louvre, Paris; Louvre Museum in Paris","The Louvre, Rome"
how many levels of protein structure are there,four,5 levels
when did university stop being free in australia,1989,1995
panic at the disco song about a wedding,I Write Sins Not Tragedies,"""The Wedding March"""
how many pages are in the book inside out and back again,263,350 pages
